what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1372115383756
os,sysinfo,,,"macosx",1372115383761
arch,sysinfo,,,"x86_64",1372115383761
ws,sysinfo,,,"cocoa",1372115383761
locale,sysinfo,,,"en_US",1372115383761
processors,sysinfo,,,"4",1372115383761
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1372115383761
java.runtime.version,sysinfo,,,"1.6.0_45-b06-451-11M4406",1372115383762
java.specification.name,sysinfo,,,"Java Platform API Specification",1372115383762
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1372115383762
java.specification.version,sysinfo,,,"1.6",1372115383762
java.vendor,sysinfo,,,"Apple Inc.",1372115383762
java.version,sysinfo,,,"1.6.0_45",1372115383762
java.vm.info,sysinfo,,,"mixed mode",1372115383762
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1372115383762
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1372115383762
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1372115383762
java.vm.specification.version,sysinfo,,,"1.0",1372115383762
java.vm.vendor,sysinfo,,,"Apple Inc.",1372115383762
java.vm.version,sysinfo,,,"20.45-b01-451",1372115383762
started,bundle,org.eclipse.m2e.usagedata,1.0.0.201106061504,"org.eclipse.m2e.usagedata",1372115383830
started,bundle,com.android.ide.eclipse.ddms,21.0.1.v201212060256-543035,"com.android.ide.eclipse.ddms",1372115383921
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1372115384385
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1372115384551
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030424,"org.eclipse.wst.common.project.facet.core",1372115384835
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1372115384901
started,bundle,org.eclipse.m2e.discovery,1.0.0.201106061504,"org.eclipse.m2e.discovery",1372115385013
started,bundle,org.eclipse.mylyn.team.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.team.ui",1372115385231
started,bundle,org.eclipse.rse.services,3.2.200.201211090626,"org.eclipse.rse.services",1372115385787
started,bundle,org.eclipse.rse.core,3.3.2.201301152246,"org.eclipse.rse.core",1372115385900
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1372115386287
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1372115386308
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1372115386550
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1372115387125
started,bundle,org.eclipse.rse.ui,3.3.3.201302122026,"org.eclipse.rse.ui",1372115387148
started,bundle,org.eclipse.wst.server.core,1.1.208.v20110914_1539,"org.eclipse.wst.server.core",1372115387953
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.300.201205141739,"org.eclipse.rse.subsystems.shells.core",1372115388577
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.400.201205062159,"org.eclipse.rse.subsystems.shells.local",1372115388673
started,bundle,org.eclipse.wst.server.ui,1.1.209.v20110914_1539,"org.eclipse.wst.server.ui",1372115388830
started,bundle,org.jboss.tools.jmx.core,1.2.0.v20111025-2055-H161-Final,"org.jboss.tools.jmx.core",1372115388927
started,bundle,org.eclipse.wst.common.frameworks,1.2.1.v201107271600,"org.eclipse.wst.common.frameworks",1372115388986
started,bundle,org.eclipse.rse.connectorservice.local,2.1.400.201205062159,"org.eclipse.rse.connectorservice.local",1372115389094
started,bundle,org.eclipse.rse.services.local,2.1.401.201302062104,"org.eclipse.rse.services.local",1372115389214
started,bundle,org.jboss.tools.esb.project.core,1.4.1.v20111111-0222-H200-Final,"org.jboss.tools.esb.project.core",1372115389337
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.201.v201108161900,"org.eclipse.jst.common.project.facet.core",1372115390023
started,bundle,org.jboss.ide.eclipse.as.core,2.2.0.v20111110-1751-H262-Final,"org.jboss.ide.eclipse.as.core",1372115390122
started,bundle,org.jboss.ide.eclipse.as.ui,2.2.0.v20111110-1751-H262-Final,"org.jboss.ide.eclipse.as.ui",1372115390821
started,bundle,org.jboss.tools.common,3.2.1.v20111025-0439-H174-Final,"org.jboss.tools.common",1372115391007
started,bundle,org.jboss.tools.common.model,3.2.1.v20111025-0439-H174-Final,"org.jboss.tools.common.model",1372115391211
started,bundle,org.jboss.tools.runtime,1.2.0.v20111025-0316-H469-Final,"org.jboss.tools.runtime",1372115391248
started,bundle,org.jboss.tools.jst.web.ui,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.web.ui",1372115391344
started,bundle,org.jboss.tools.runtime.ui,1.0.0.v20111025-0316-H469-Final,"org.jboss.tools.runtime.ui",1372115391349
started,bundle,org.jboss.tools.usage,1.0.1.v20111025-0334-H157-Final,"org.jboss.tools.usage",1372115391484
started,bundle,com.android.ide.eclipse.traceview,21.0.1.v201212060256-543035,"com.android.ide.eclipse.traceview",1372115391903
started,bundle,org.jboss.tools.common.projecttemplates,3.2.1.v20111025-0439-H174-Final,"org.jboss.tools.common.projecttemplates",1372115392998
started,bundle,org.jboss.tools.jst.web,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.web",1372115393034
started,bundle,org.jboss.tools.jsf.ui,3.2.1.v20111027-1258-H202-Final,"org.jboss.tools.jsf.ui",1372115393056
started,bundle,org.jboss.tools.struts.ui,3.1.1.v20111025-2151-H198-Final,"org.jboss.tools.struts.ui",1372115393077
started,bundle,org.jboss.tools.common.verification.ui,3.1.0.v20111025-0439-H174-Final,"org.jboss.tools.common.verification.ui",1372115393101
started,bundle,org.eclipse.wst.sse.core,1.1.506.v201105251904,"org.eclipse.wst.sse.core",1372115394719
started,bundle,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui",1372115394777
started,bundle,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui",1372115394778
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372115486659
activated,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1372115486666
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1372115489737
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1372115489808
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1372115489825
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372115494659
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372115616948
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1372115616988
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372115618549
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372115637031
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1372115637268
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1372115638010
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1372115638030
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1372115638505
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1372115638521
